Vext Jext
-0.075 -172.484029102
-0.05 -171.365335104
-0.025 -170.188872654
0.0 -168.950636327
0.025 -167.64630664
0.05 -166.271226645
0.075 -164.820373825
0.1 -163.288354479
0.125 -161.669346665
0.15 -159.957110232
0.175 -158.144952736
0.2 -156.225686559
0.225 -154.191645961
0.25 -152.034645191
0.275 -149.74596613
0.3 -147.316348506
0.325 -144.735932999
0.35 -141.994281197
0.375 -139.080297028
0.4 -135.982162402
0.425 -132.68721172
0.45 -129.181799371
0.475 -125.450957073
0.5 -121.478025767
0.525 -117.244025968
0.55 -112.728647127
0.575 -107.90213867
0.6 -102.731510928
0.625 -97.1736892607
0.65 -91.170719306
0.675 -84.6415924473
0.7 -77.4692975794
0.725 -69.4790109986
0.75 -60.4009477526
0.775 -49.8145009493
0.8 -37.0671801372
0.825 -21.1797736023
0.85 -0.78057545381
0.875 25.8576178737
0.9 60.6272058713
0.925 105.250250814
0.95 160.985980515
