Vext Jext
-0.075 -167.564751834
-0.05 -166.375255219
-0.025 -165.12637897
0.0 -163.814140753
0.025 -162.434256209
0.05 -160.982082695
0.075 -159.45261269
0.1 -157.840420878
0.125 -156.139652407
0.15 -154.343967472
0.175 -152.446500782
0.2 -150.439814242
0.225 -148.315850405
0.25 -146.065848595
0.275 -143.680309707
0.3 -141.148900745
0.325 -138.460378763
0.35 -135.60246429
0.375 -132.561755056
0.4 -129.323570078
0.425 -125.871757364
0.45 -122.188515846
0.475 -118.254116081
0.5 -114.046546914
0.525 -109.541116168
0.55 -104.709865235
0.575 -99.5208241569
0.6 -93.9370538247
0.625 -87.9163398748
0.65 -81.4058700124
0.675 -74.3427377122
0.7 -66.6505143992
0.725 -58.2339732386
0.75 -48.9743996198
0.775 -38.7245590474
0.8 -27.3050088814
0.825 -14.505455313
0.85 -0.091839769593
0.875 16.1786071524
0.9 34.5412320673
0.925 55.2057978265
0.95 78.3440623984
0.975 104.087642198
1.0 132.53195322
1.025 163.741864968
