Vext Jext
-0.075 -195.012837306
-0.05 -194.828815288
-0.025 -194.633284032
0.0 -194.425168786
0.025 -194.203260596
0.05 -193.966195507
0.075 -193.712429893
0.1 -193.440211071
0.125 -193.147542116
0.15 -192.832139538
0.175 -192.491382066
0.2 -192.12224833
0.225 -191.721240537
0.25 -191.284290366
0.275 -190.806642061
0.3 -190.282706054
0.325 -189.705874056
0.35 -189.068283273
0.375 -188.360512574
0.4 -187.571186482
0.425 -186.686452434
0.45 -185.689280978
0.475 -184.55851401
0.5 -183.267546999
0.525 -181.782466764
0.55 -180.059381205
0.575 -178.04037371
0.6 -175.647282209
0.625 -172.77218807
0.65 -169.262449914
0.675 -164.889933842
0.7 -159.307752659
0.725 -151.96892872
0.75 -141.99390239
0.775 -127.977849153
0.8 -107.774188046
0.825 -78.3918900346
0.85 -36.2014766676
0.875 22.4867890879
0.9 100.786990238
