Vext Jext
-0.075 -200.888512736
-0.05 -200.8773004
-0.025 -200.86515949
0.0 -200.851982036
0.025 -200.837644239
0.05 -200.822003681
0.075 -200.804895992
0.1 -200.786130634
0.125 -200.76548608
0.15 -200.742703561
0.175 -200.717479507
0.2 -200.68945609
0.225 -200.658209381
0.25 -200.623234365
0.275 -200.58392584
0.3 -200.539553838
0.325 -200.489231665
0.35 -200.431873904
0.375 -200.366140543
0.4 -200.290361642
0.425 -200.202434457
0.45 -200.099680419
0.475 -199.978643138
0.5 -199.834797444
0.525 -199.662126241
0.55 -199.452467891
0.575 -199.194505332
0.6 -198.872226302
0.625 -198.462423779
0.65 -197.929907007
0.675 -197.220138095
0.7 -196.245210081
0.725 -194.857984502
0.75 -192.803312058
0.775 -189.626647308
0.8 -184.504514372
0.825 -175.939789736
0.85 -161.229896637
0.875 -135.554602393
0.9 -90.4974786916
0.925 -11.9599606813
0.95 121.83368207
