Vext Jext
-0.075 -202.770855953
-0.05 -202.699369955
-0.025 -202.622652446
0.0 -202.540152164
0.025 -202.451241671
0.05 -202.355204642
0.075 -202.251220326
0.1 -202.138344751
0.125 -202.015487858
0.15 -201.881385517
0.175 -201.734565402
0.2 -201.573303052
0.225 -201.395570386
0.25 -201.19896755
0.275 -200.980638285
0.3 -200.737161397
0.325 -200.464410804
0.35 -200.157373309
0.375 -199.809909381
0.4 -199.414433147
0.425 -198.961486892
0.45 -198.439158335
0.475 -197.832282417
0.5 -197.121331686
0.525 -196.280889443
0.55 -195.277342417
0.575 -194.065850327
0.6 -192.585876255
0.625 -190.755109439
0.65 -188.458767002
0.675 -185.539253928
0.7 -181.777793068
0.725 -176.871675471
0.75 -170.40346481
0.775 -161.795765014
0.8 -150.241629897
0.825 -134.597167611
0.85 -113.2402413
0.875 -83.9612524025
0.9 -44.0189306926
0.925 9.54396230679
0.95 79.4237973559
0.975 167.683655052
