Vext Jext
-0.075 -205.863903303
-0.05 -205.862585651
-0.025 -205.861157251
0.0 -205.85960502
0.025 -205.857913919
0.05 -205.856066602
0.075 -205.854042987
0.1 -205.851819738
0.125 -205.849369617
0.15 -205.846660698
0.175 -205.843655379
0.2 -205.840309138
0.225 -205.836568989
0.25 -205.83237148
0.275 -205.827640145
0.3 -205.822282179
0.325 -205.816184086
0.35 -205.809205896
0.375 -205.801173389
0.4 -205.791867484
0.425 -205.781009575
0.45 -205.76824087
0.475 -205.753092807
0.5 -205.734943829
0.525 -205.712956066
0.55 -205.685972638
0.575 -205.652367491
0.6 -205.609795531
0.625 -205.554801994
0.65 -205.482037741
0.675 -205.383108686
0.7 -205.244267674
0.725 -205.042222889
0.75 -204.736146727
0.775 -204.252294437
0.8 -203.454264883
0.825 -202.084793024
0.85 -199.649629367
0.875 -195.179612687
0.9 -186.726535738
0.925 -170.298077253
0.95 -137.692527404
0.975 -72.4071970087
1.0 57.2259778396
