Vext Jext
-0.075 -205.858506243
-0.05 -205.857125699
-0.025 -205.855652508
0.0 -205.854077735
0.025 -205.852391304
0.05 -205.850581809
0.075 -205.848636299
0.1 -205.846540016
0.125 -205.844276074
0.15 -205.841825079
0.175 -205.839164656
0.2 -205.836268871
0.225 -205.833107517
0.25 -205.829645222
0.275 -205.825840323
0.3 -205.821643444
0.325 -205.816995662
0.35 -205.811826144
0.375 -205.80604903
0.4 -205.79955931
0.425 -205.792227244
0.45 -205.783890728
0.475 -205.774344652
0.5 -205.763325551
0.525 -205.750489495
0.55 -205.73537865
0.575 -205.717368527
0.6 -205.695582016
0.625 -205.668746598
0.65 -205.634942213
0.675 -205.591074855
0.7 -205.531906594
0.725 -205.447932755
0.75 -205.320694001
0.775 -205.112055096
0.8 -204.739127844
0.825 -204.015006297
0.85 -202.509091736
0.875 -199.220782834
0.9 -191.824968505
0.925 -174.952396712
0.95 -136.396860512
0.975 -49.4149001413
1.0 140.652957202
