Vext Jext
-0.075 -197.303881581
-0.05 -197.073094053
-0.025 -196.827327215
0.0 -196.565183097
0.025 -196.285090719
0.05 -195.985302254
0.075 -195.663745439
0.1 -195.318218589
0.125 -194.946111438
0.15 -194.544466686
0.175 -194.109891534
0.2 -193.638476557
0.225 -193.125697309
0.25 -192.56629321
0.275 -191.954117751
0.3 -191.28198164
0.325 -190.541272369
0.35 -189.721967895
0.375 -188.811912751
0.4 -187.79657854
0.425 -186.658388191
0.45 -185.375923213
0.475 -183.922929228
0.5 -182.267038693
0.525 -180.368104342
0.55 -178.176084663
0.575 -175.62837537
0.6 -172.646687662
0.625 -169.132827656
0.65 -164.963677533
0.675 -159.987015583
0.7 -154.015632527
0.725 -146.821994982
0.75 -138.132707982
0.775 -127.623422157
0.8 -114.915042561
0.825 -99.5755230241
0.85 -81.1320779941
0.875 -59.0959700432
0.9 -32.9963030283
0.925 -2.41320466808
0.95 33.0001381593
0.975 73.5133460039
1.0 119.325783497
1.025 170.582053967
