Vext Jext
-0.075 -196.8037137
-0.05 -196.571844787
-0.025 -196.326218658
0.0 -196.065610086
0.025 -195.788647617
0.05 -195.493785081
0.075 -195.179277533
0.1 -194.843147531
0.125 -194.483145605
0.15 -194.096702514
0.175 -193.680871233
0.2 -193.232256079
0.225 -192.746925568
0.25 -192.220302599
0.275 -191.647037846
0.3 -191.02083036
0.325 -190.334221985
0.35 -189.578325209
0.375 -188.742476675
0.4 -187.813790164
0.425 -186.776575922
0.45 -185.61158168
0.475 -184.294995332
0.5 -182.797132584
0.525 -181.080680038
0.55 -179.098428726
0.575 -176.790240708
0.6 -174.079535028
0.625 -170.86694371
0.65 -167.02413036
0.675 -162.386064456
0.7 -156.737852327
0.725 -149.797537573
0.75 -141.186552085
0.775 -130.379110752
0.8 -116.618294963
0.825 -98.7920549007
0.85 -75.2992584338
0.875 -43.9945191263
0.9 -2.34909091267
0.925 52.1520446602
0.95 121.527013147
