Vext Jext
-0.075 -205.687356476
-0.05 -205.675666782
-0.025 -205.66278343
0.0 -205.648526071
0.025 -205.632678353
0.05 -205.614979037
0.075 -205.59511037
0.1 -205.572682905
0.125 -205.547215441
0.15 -205.518108277
0.175 -205.484607173
0.2 -205.445754394
0.225 -205.400321727
0.25 -205.34671762
0.275 -205.28285809
0.3 -205.205986298
0.325 -205.112422724
0.35 -204.997197178
0.375 -204.853570547
0.4 -204.672361798
0.425 -204.441105516
0.45 -204.142832681
0.475 -203.754910422
0.5 -203.247973174
0.525 -202.585217285
0.55 -201.722847267
0.575 -200.611789794
0.6 -199.201103698
0.625 -197.441285626
0.65 -195.286913669
0.675 -192.697292592
0.7 -189.63484186
0.725 -186.06141235
0.75 -181.932402792
0.775 -177.188588488
0.8 -171.742745679
0.825 -165.457069274
0.85 -158.10189966
0.875 -149.278088154
0.9 -138.270010114
0.925 -123.777278637
0.95 -103.453257272
0.975 -73.2069177697
1.0 -26.3623718571
1.025 46.8982692839
1.05 159.139031726
