Vext Jext
-0.075 -199.284607841
-0.05 -199.27216905
-0.025 -199.258499449
0.0 -199.243417966
0.025 -199.226708186
0.05 -199.208109691
0.075 -199.187306864
0.1 -199.163914353
0.125 -199.137457826
0.15 -199.10734847
0.175 -199.072848721
0.2 -199.033025952
0.225 -198.986689064
0.25 -198.932301203
0.275 -198.867858807
0.3 -198.790722351
0.325 -198.697381782
0.35 -198.583123105
0.375 -198.441563628
0.4 -198.264044711
0.425 -198.038816761
0.45 -197.749981574
0.475 -197.376220022
0.5 -196.889867995
0.525 -196.256091938
0.55 -195.433195791
0.575 -194.373901804
0.6 -193.028620363
0.625 -191.348480997
0.65 -189.288032658
0.675 -186.8060827
0.7 -183.86436552
0.725 -180.424072382
0.75 -176.440157573
0.775 -171.853241683
0.8 -166.576440177
0.825 -160.472964142
0.85 -153.315680057
0.875 -144.711482767
0.9 -133.960093204
0.925 -119.801667506
0.95 -99.9956644086
0.975 -70.7164855087
1.0 -25.8933253045
1.025 43.0982709589
1.05 146.883871239
