Vext Jext
-0.075 -200.171101305
-0.05 -200.029223282
-0.025 -199.880058571
0.0 -199.723038557
0.025 -199.557534172
0.05 -199.382847567
0.075 -199.198202352
0.1 -199.002732097
0.125 -198.795466736
0.15 -198.575316396
0.175 -198.341052071
0.2 -198.091282396
0.225 -197.82442486
0.25 -197.538674484
0.275 -197.231958048
0.3 -196.901885249
0.325 -196.545684452
0.35 -196.160124082
0.375 -195.741412478
0.4 -195.28507244
0.425 -194.785783099
0.45 -194.237172153
0.475 -193.63156346
0.5 -192.95963404
0.525 -192.209988429
0.55 -191.368603453
0.575 -190.418128768
0.6 -189.336986058
0.625 -188.098375058
0.65 -186.668503557
0.675 -185.005521882
0.7 -183.057403587
0.725 -180.759858474
0.75 -178.03399443
0.775 -174.783380097
0.8 -170.89006728
0.825 -166.208282264
0.85 -160.554167992
0.875 -153.689689812
0.9 -145.297261115
0.925 -134.944536651
0.95 -122.03755202
0.975 -105.765469376
1.0 -85.0412925301
1.025 -58.4481671736
1.05 -24.2026408156
1.075 19.8462415723
1.1 76.1670119582
