Vext Jext
-0.075 -203.527617577
-0.05 -203.497244525
-0.025 -203.464840492
0.0 -203.430210128
0.025 -203.393133108
0.05 -203.353359625
0.075 -203.31060609
0.1 -203.264548856
0.125 -203.214817263
0.15 -203.160984428
0.175 -203.102557265
0.2 -203.038962857
0.225 -202.969532347
0.25 -202.89347981
0.275 -202.809877634
0.3 -202.717622552
0.325 -202.615395263
0.35 -202.5016053
0.375 -202.374322894
0.4 -202.231186491
0.425 -202.069283616
0.45 -201.884991615
0.475 -201.673765294
0.5 -201.429852013
0.525 -201.145907999
0.55 -200.812481495
0.575 -200.417314648
0.6 -199.944429423
0.625 -199.37288072
0.65 -198.675069704
0.675 -197.814862778
0.7 -196.74495675
0.725 -195.403820739
0.75 -193.711991825
0.775 -191.567512811
0.8 -188.839913559
0.825 -185.361510999
0.85 -180.914160619
0.875 -175.208615807
0.9 -167.852701135
0.925 -158.305931211
0.95 -145.817921296
0.975 -129.354933889
1.0 -107.523607659
1.025 -78.5090128383
1.05 -40.0530971036
1.075 10.5060739934
1.1 76.1056689933
