Vext Jext
-0.075 -199.584369099
-0.05 -199.535252119
-0.025 -199.483118491
0.0 -199.427693949
0.025 -199.368670483
0.05 -199.305700767
0.075 -199.238392614
0.1 -199.166300098
0.125 -199.088914961
0.15 -199.005655171
0.175 -198.915851045
0.2 -198.818728166
0.225 -198.713386203
0.25 -198.598772422
0.275 -198.473647971
0.3 -198.336547106
0.325 -198.185720953
0.35 -198.01906895
0.375 -197.834048834
0.4 -197.627556974
0.425 -197.395772542
0.45 -197.133949451
0.475 -196.836136717
0.5 -196.494804643
0.525 -196.100338848
0.55 -195.64035686
0.575 -195.098787208
0.6 -194.454693477
0.625 -193.680439893
0.65 -192.739827844
0.675 -191.585218438
0.7 -190.1541746
0.725 -188.365159627
0.75 -186.112077809
0.775 -183.257004939
0.8 -179.619791996
0.825 -174.962663672
0.85 -168.966670093
0.875 -161.19706104
0.9 -151.056637157
0.925 -137.723136561
0.95 -120.078916601
0.975 -96.6392898074
1.0 -65.5002560053
1.025 -24.3283209128
1.05 29.5790422042
1.075 99.1580589701
1.1 187.365069729
