Vext Jext
-0.075 -197.725811361
-0.05 -197.637714956
-0.025 -197.544918165
0.0 -197.447039106
0.025 -197.343655074
0.05 -197.234294794
0.075 -197.118431641
0.1 -196.995475811
0.125 -196.864762187
0.15 -196.725541387
0.175 -196.576963479
0.2 -196.418061544
0.225 -196.247728167
0.25 -196.064692894
0.275 -195.867488905
0.3 -195.654411153
0.325 -195.423471567
0.35 -195.172331741
0.375 -194.898229745
0.4 -194.597875151
0.425 -194.267323412
0.45 -193.901809592
0.475 -193.495533404
0.5 -193.041379248
0.525 -192.53055155
0.55 -191.952093002
0.575 -191.292268892
0.6 -190.533753289
0.625 -189.654684297
0.65 -188.627425048
0.675 -187.416050664
0.7 -185.976163918
0.725 -184.251529711
0.75 -182.171933832
0.775 -179.650310661
0.8 -176.579106809
0.825 -172.824991499
0.85 -168.220515054
0.875 -162.550423175
0.9 -155.529813699
0.925 -146.771132804
0.95 -135.73784076
0.975 -121.685547401
1.0 -103.593953194
1.025 -80.1006680219
1.05 -49.4515683119
1.075 -9.48444636131
1.1 42.3306281459
