Vext Jext
-0.075 -201.876978947
-0.05 -201.845153318
-0.025 -201.811212597
0.0 -201.774953639
0.025 -201.736146877
0.05 -201.694532602
0.075 -201.649815502
0.1 -201.601658536
0.125 -201.549675575
0.15 -201.493421765
0.175 -201.432382982
0.2 -201.36596154
0.225 -201.293459183
0.25 -201.214054882
0.275 -201.126778479
0.3 -201.03047578
0.325 -200.923763561
0.35 -200.804973849
0.375 -200.672078245
0.4 -200.522591336
0.425 -200.353441954
0.45 -200.160802103
0.475 -199.939857933
0.5 -199.684501426
0.525 -199.386914267
0.55 -199.037002579
0.575 -198.621638715
0.6 -198.123669142
0.625 -197.520462609
0.65 -196.782210324
0.675 -195.869676902
0.7 -194.731320867
0.725 -193.299809632
0.75 -191.48771102
0.775 -189.182042529
0.8 -186.23678308
0.825 -182.461951332
0.85 -177.606941307
0.875 -171.334932512
0.9 -163.185545763
0.925 -152.52220682
0.95 -138.465168783
0.975 -119.816884561
1.0 -94.9895720726
1.025 -61.9583720347
1.05 -18.2662837108
1.075 38.896972013
1.1 112.536139852
