Vext Jext
-0.075 -196.06014393
-0.05 -195.884683279
-0.025 -195.699792576
0.0 -195.504723225
0.025 -195.29865036
0.05 -195.080655278
0.075 -194.849715354
0.1 -194.604692432
0.125 -194.344307712
0.15 -194.067122896
0.175 -193.771517927
0.2 -193.455650633
0.225 -193.117427314
0.25 -192.754447214
0.275 -192.363946755
0.3 -191.942730607
0.325 -191.487072514
0.35 -190.99260303
0.375 -190.454166895
0.4 -189.865626799
0.425 -189.21962605
0.45 -188.507273291
0.475 -187.717735099
0.5 -186.837699367
0.525 -185.850679322
0.55 -184.736102893
0.575 -183.468211441
0.6 -182.01445911
0.625 -180.333508093
0.65 -178.373218948
0.675 -176.067632508
0.7 -173.333544143
0.725 -170.066403375
0.75 -166.135102708
0.775 -161.374422759
0.8 -155.574135972
0.825 -148.461732029
0.85 -139.676391084
0.875 -128.732586543
0.9 -114.970419212
0.925 -97.5035699362
0.95 -75.1602349139
0.975 -46.4322210731
1.0 -9.44644401475
1.025 38.0202631213
1.05 98.4767505265
1.075 174.579378378
