Vext Jext
-0.075 -205.291087149
-0.05 -205.264471496
-0.025 -205.236002239
0.0 -205.205496808
0.025 -205.172748542
0.05 -205.137523193
0.075 -205.099553926
0.1 -205.058535769
0.125 -205.01411832
0.15 -204.965897832
0.175 -204.913406515
0.2 -204.856099925
0.225 -204.793340538
0.25 -204.724378682
0.275 -204.648326431
0.3 -204.564126729
0.325 -204.470511533
0.35 -204.365950399
0.375 -204.248580963
0.4 -204.116121013
0.425 -203.965749416
0.45 -203.793950527
0.475 -203.59630515
0.5 -203.367210031
0.525 -203.099500254
0.55 -202.783937789
0.575 -202.408527285
0.6 -201.957604921
0.625 -201.410627215
0.65 -200.740482689
0.675 -199.911651925
0.7 -198.877608932
0.725 -197.577822174
0.75 -195.934137163
0.775 -193.846350631
0.8 -191.186433504
0.825 -187.790243921
0.85 -183.444853486
0.875 -177.86886126
0.9 -170.681692112
0.925 -161.359440816
0.95 -149.174239787
0.975 -133.121024378
1.0 -111.840264076
1.025 -83.5533951388
1.05 -46.036661399
1.075 3.34595636663
1.1 67.521209334
