Vext Jext
-0.075 -183.348903035
-0.05 -182.963578261
-0.025 -182.559310128
0.0 -182.134736496
0.025 -181.688357331
0.05 -181.218528027
0.075 -180.723435482
0.1 -180.201088347
0.125 -179.649271632
0.15 -179.065539286
0.175 -178.447160671
0.2 -177.791086402
0.225 -177.09390876
0.25 -176.351785437
0.275 -175.560376399
0.3 -174.714735196
0.325 -173.809316139
0.35 -172.837661301
0.375 -171.792379771
0.4 -170.664900962
0.425 -169.445242827
0.45 -168.121703533
0.475 -166.680478538
0.5 -165.105183407
0.525 -163.376242985
0.55 -161.470133294
0.575 -159.358486693
0.6 -157.007089319
0.625 -154.373963823
0.65 -151.408399359
0.675 -148.048842191
0.7 -144.220806229
0.725 -139.834646491
0.75 -134.782756287
0.775 -128.936148786
0.8 -122.13974873
0.825 -114.204806001
0.85 -104.897126145
0.875 -93.9164137856
0.9 -80.8682134419
0.925 -65.230359553
0.95 -46.3149857549
0.975 -23.237114395
1.0 5.11400024811
1.025 40.0924879962
1.05 83.3061485196
1.075 136.598558298
