Vext Jext
-0.075 -200.462064017
-0.05 -200.434690773
-0.025 -200.40543163
0.0 -200.374101112
0.025 -200.340489714
0.05 -200.304359636
0.075 -200.265440018
0.1 -200.223421222
0.125 -200.17794739
0.15 -200.128608343
0.175 -200.074928634
0.2 -200.016354612
0.225 -199.9522376
0.25 -199.881814075
0.275 -199.804179535
0.3 -199.718255032
0.325 -199.622746012
0.35 -199.516086534
0.375 -199.396369539
0.4 -199.261252342
0.425 -199.1078339
0.45 -198.932490145
0.475 -198.73065321
0.5 -198.496513537
0.525 -198.222616707
0.55 -197.89931427
0.575 -197.514024192
0.6 -197.050256241
0.625 -196.486199882
0.65 -195.793018675
0.675 -194.932635631
0.7 -193.854850994
0.725 -192.493849635
0.75 -190.763890622
0.775 -188.553822969
0.8 -185.71967187
0.825 -182.073915584
0.85 -177.368888873
0.875 -171.271838497
0.9 -163.327548767
0.925 -152.906478464
0.95 -139.137158352
0.975 -120.831052729
1.0 -96.4086783363
1.025 -63.8508324564
1.05 -20.7013694475
1.075 35.8555863495
1.1 108.837425994
