Vext Jext
-0.075 -202.137838939
-0.05 -202.111903957
-0.025 -202.084126701
0.0 -202.054321895
0.025 -202.02227955
0.05 -201.987760814
0.075 -201.950492963
0.1 -201.910163412
0.125 -201.866412044
0.15 -201.818822557
0.175 -201.766911071
0.2 -201.710112328
0.225 -201.647762531
0.25 -201.579077178
0.275 -201.503124107
0.3 -201.418788131
0.325 -201.324725293
0.35 -201.219305181
0.375 -201.10053324
0.4 -200.96595021
0.425 -200.812497732
0.45 -200.636338628
0.475 -200.432614833
0.5 -200.195119875
0.525 -199.91585176
0.55 -199.584408486
0.575 -199.187161012
0.6 -198.70618058
0.625 -198.117616475
0.65 -197.38989152
0.675 -196.481116076
0.7 -195.335902944
0.725 -193.88139653
0.75 -192.022266352
0.775 -189.63422628
0.8 -186.554955842
0.825 -182.570930267
0.85 -177.397131929
0.875 -170.646842617
0.9 -161.788603713
0.925 -150.087558194
0.95 -134.534056816
0.975 -113.768184703
1.0 -86.0137534502
1.025 -49.0503501814
1.05 -0.244855724381
1.075 63.3336643498
1.1 144.719137236
