Vext Jext
-1.99986 -3.65005
-1.95941 -3.83025
-1.91902 -4.06799
-1.87861 -4.2239
-1.83828 -4.30002
-1.79786 -4.24622
-1.75751 -4.12881
-1.71714 -3.92601
-1.67675 -3.68461
-1.63634 -3.41848
-1.59595 -3.16839
-1.55555 -2.90615
-1.51515 -2.67212
-1.47476 -2.43757
-1.43433 -2.21105
-1.39395 -2.01009
-1.35355 -1.83752
-1.31313 -1.67231
-1.27274 -1.5286
-0.9899 -1.3882
-0.94949 -1.25672
-0.9091 -1.15236
-0.86869 -1.04492
-0.82828 -0.94304
-0.78788 -0.841412
-0.74748 -0.765312
-0.70708 -0.687093
-0.66667 -0.607382
-0.62626 -0.537463
-0.58586 -0.478931
-0.54545 -0.425841
-0.50505 -0.376424
-0.46465 -0.328363
-0.42424 -0.184506
-0.38382 -0.155458
-0.34358 -0.130433
-0.30317 -0.0482308
-0.26277 -0.0321607
-0.22234 -0.0183822
-0.18195 -0.0058973
-0.14154 0.0062359
-0.10111 0.0192116
-0.06067 0.0326071
-0.02021 0.101954
0.02029 0.111569
0.06061 0.123272
0.10101 0.209015
0.14141 0.232238
0.18182 0.252045
0.22222 0.279802
0.26263 0.306899
0.30303 0.528191
0.34343 0.608862
0.38384 0.708357
0.42424 0.822638
0.46465 0.9683
0.50504 1.1779
0.54545 1.39938
0.58586 1.66627
0.62626 2.03145
0.66667 2.43834
0.70707 2.9193
0.74747 3.48571
0.78788 4.19721
0.82827 5.09431
0.86868 6.21878
0.90908 7.63747
0.94947 9.52344
0.98989 12.3727
1.03028 15.4074
1.07068 19.5887
1.11108 25.2635
1.15146 32.4499
1.19185 41.9056
1.2323 53.2558
1.27267 66.391
1.31302 80.9377
1.35341 96.3711
1.39384 113
1.43413 129
1.47453 145
