Vext Jext
-0.38 -226
-0.36 -225
-0.34 -225
-0.32 -225
-0.3 -226
-0.28 -226
-0.26 -227
-0.24 -227
-0.22 -227
-0.2 -227
-0.18 -227
-0.16 -227
-0.14 -226
-0.12 -226
-0.1 -225
-0.08 -226
-0.06 -226
-0.04 -226
-0.02 -226
0 -227
0.02 -227
0.04 -227
0.06 -227
0.08 -227
0.1 -226
0.12 -226
0.14 -225
0.16 -226
0.18 -226
0.2 -226
0.22 -226
0.24 -227
0.26 -227
0.28 -227
0.3 -227
0.32 -226
0.34 -225
0.36 -224
0.38 -224
0.4 -225
0.42 -224
0.44 -225
0.46 -225
0.48 -225
0.5 -225
0.52 -225
0.54 -224
0.56 -223
0.58 -222
0.6 -222
0.62 -221
0.64 -221
0.66 -220
0.68 -218
0.7 -216
0.72 -214
0.74 -209
0.76 -204
0.78 -196
0.8 -187
0.82 -176
0.84 -162
0.86 -146
0.88 -129
0.9 -108
0.92 -8.87E+01
0.94 -6.56E+01
0.96 -4.13E+01
0.98 -1.50E+01
1 4.27E+00
1.02 2.95E+01
1.04 5.73E+01
1.06 8.66E+01
1.08 114
1.1 144
1.12 176
1.14 208
1.16 240
1.18 272
1.2 303
1.22 334
1.24 363
1.26 390
1.28 414
1.3 435
1.32 453
1.34 467
1.36 475
1.38 479
1.4 475
1.42 465
1.44 446
1.46 417
1.48 378
1.5 329
