Vext Jext
-0.075 -188.67082824
-0.05 -188.097876358
-0.025 -187.490173391
0.0 -186.84483192
0.025 -186.158662622
0.05 -185.428130079
0.075 -184.649318849
0.1 -183.817880286
0.125 -182.92897066
0.15 -181.977197303
0.175 -180.95654123
0.2 -179.860267219
0.225 -178.680840688
0.25 -177.409815245
0.275 -176.037702952
0.3 -174.553853563
0.325 -172.946282297
0.35 -171.201518249
0.375 -169.304397837
0.4 -167.237879053
0.425 -164.982820202
0.45 -162.517746169
0.475 -159.818647085
0.5 -156.858739466
0.525 -153.608296701
0.55 -150.034485256
0.575 -146.101255843
0.6 -141.769298915
0.625 -136.99640814
0.65 -131.736346651
0.675 -125.940250247
0.7 -119.55623296
0.725 -112.52939927
0.75 -104.801678781
0.775 -96.3123895056
0.8 -86.9979642659
0.825 -76.7925985754
0.85 -65.6311005702
0.875 -53.4490975792
0.9 -40.1854194722
0.925 -25.7841682912
0.95 -10.1962262283
0.975 6.62209547969
1.0 24.7078259159
1.025 44.0938592054
1.05 64.8112434197
1.075 86.8893971506
1.1 110.358240058
