Vext Jext
-0.075 -175.235328651
-0.05 -174.19897075
-0.025 -173.108601555
0.0 -171.960494712
0.025 -170.750623673
0.05 -169.474625442
0.075 -168.127772374
0.1 -166.704942261
0.125 -165.200572239
0.15 -163.608635873
0.175 -161.922592004
0.2 -160.135342725
0.225 -158.239186198
0.25 -156.225769686
0.275 -154.086023944
0.3 -151.810126386
0.325 -149.38743166
0.35 -146.806415418
0.375 -144.054614602
0.4 -141.118567599
0.425 -137.983751859
0.45 -134.634541194
0.475 -131.054126807
0.5 -127.224492848
0.525 -123.126354736
0.55 -118.739136509
0.575 -114.040912941
0.6 -109.008390891
0.625 -103.617355759
0.65 -97.8412416928
0.675 -91.6526150647
0.7 -85.0228119695
0.725 -77.9217626428
0.75 -70.3182245601
0.775 -62.1799232824
0.8 -53.4739115081
0.825 -44.1657974358
0.85 -34.2204773387
0.875 -23.602772722
0.9 -12.2762171453
0.925 -0.20327585419
0.95 12.6541502678
0.975 26.335462469
1.0 40.8800025217
1.025 56.3270061435
1.05 72.7145852313
1.075 90.0797688427
1.1 108.456914927
