Vext Jext
-0.075 -199.455634268
-0.05 -199.307889678
-0.025 -199.150088067
0.0 -198.98127634
0.025 -198.800384557
0.05 -198.606206683
0.075 -198.397377485
0.1 -198.172349492
0.125 -197.929361251
0.15 -197.666398737
0.175 -197.381154142
0.2 -197.07097108
0.225 -196.732777203
0.25 -196.363009476
0.275 -195.957511557
0.3 -195.511419944
0.325 -195.019010476
0.35 -194.473522442
0.375 -193.866926313
0.4 -193.189645327
0.425 -192.430210528
0.45 -191.574822726
0.475 -190.606825406
0.5 -189.506055067
0.525 -188.24806078
0.55 -186.803185429
0.575 -185.135518424
0.6 -183.201762051
0.625 -180.950240043
0.65 -178.319297164
0.675 -175.237150654
0.7 -171.621348946
0.725 -167.378817821
0.75 -162.40624935
0.775 -156.590209015
0.8 -149.80601425
0.825 -141.914734529
0.85 -132.757520182
0.875 -122.147500796
0.9 -109.861860203
0.925 -95.6357680218
0.95 -79.1634942553
0.975 -60.1091468619
1.0 -38.1238084708
1.025 -12.8704258403
1.05 15.9560608084
1.075 48.6141132975
1.1 85.3054201525
