Vext Jext
-0.075 -189.525337305
-0.05 -188.817131183
-0.025 -188.068115414
0.0 -187.275120914
0.025 -186.434672478
0.05 -185.542948416
0.075 -184.595752876
0.1 -183.588467976
0.125 -182.51599886
0.15 -181.37273158
0.175 -180.152467754
0.2 -178.848349929
0.225 -177.452800678
0.25 -175.95743482
0.275 -174.352960428
0.3 -172.629099247
0.325 -170.774459856
0.35 -168.776443033
0.375 -166.621116883
0.4 -164.293084533
0.425 -161.775385208
0.45 -159.049351772
0.475 -156.094525777
0.5 -152.888558109
0.525 -149.407128407
0.55 -145.623931934
0.575 -141.510650075
0.6 -137.036945763
0.625 -132.170568448
0.65 -126.877935934
0.675 -121.122053647
0.7 -114.865293249
0.725 -108.067840541
0.75 -100.687728358
0.775 -92.6810816889
0.8 -84.0013349723
0.825 -74.6012851379
0.85 -64.432863664
0.875 -53.4479639424
0.9 -41.6005907628
0.925 -28.8476390586
0.95 -15.1492252912
0.975 -0.47002537479
1.0 15.222696463
1.025 31.9590006485
1.05 49.7678628481
1.075 68.6788801637
1.1 88.7216464439
