Vext Jext
-0.075 -184.956547878
-0.05 -184.207862
-0.025 -183.417315496
0.0 -182.58182332
0.025 -181.697897099
0.05 -180.761840609
0.075 -179.76957105
0.1 -178.716617646
0.125 -177.598071721
0.15 -176.408553997
0.175 -175.142157998
0.2 -173.792385731
0.225 -172.352104368
0.25 -170.813459714
0.275 -169.167821325
0.3 -167.405699089
0.325 -165.516651566
0.35 -163.489221315
0.375 -161.310824059
0.4 -158.967681553
0.425 -156.444729663
0.45 -153.725528697
0.475 -150.792220927
0.5 -147.625451524
0.525 -144.204361047
0.55 -140.506577473
0.575 -136.508188132
0.6 -132.183837735
0.625 -127.506751778
0.65 -122.449208976
0.675 -116.981156088
0.7 -111.071738689
0.725 -104.688733081
0.75 -97.7981420512
0.775 -90.3642250643
0.8 -82.3491216856
0.825 -73.713815925
0.85 -64.4175418482
0.875 -54.4193537552
0.9 -43.6786460153
0.925 -32.1567150393
0.95 -19.8173141422
0.975 -6.62711835529
1.0 7.4445482581
1.025 22.426668251
1.05 38.3470493202
1.075 55.233547376
1.1 73.1154096097
