Vext Jext
-0.075 -193.480577673
-0.05 -193.214483594
-0.025 -192.930659208
0.0 -192.627452517
0.025 -192.303010411
0.05 -191.955249934
0.075 -191.581819906
0.1 -191.180063606
0.125 -190.74696756
0.15 -190.279099825
0.175 -189.772545156
0.2 -189.222819332
0.225 -188.624765092
0.25 -187.972439262
0.275 -187.258958811
0.3 -186.476335001
0.325 -185.615252384
0.35 -184.664824383
0.375 -183.612276694
0.4 -182.442582858
0.425 -181.138030199
0.45 -179.677690697
0.475 -178.036820581
0.5 -176.186176554
0.525 -174.091235981
0.55 -171.711387334
0.575 -168.999101081
0.6 -165.899206196
0.625 -162.348507916
0.65 -158.274190832
0.675 -153.595368513
0.7 -148.222052728
0.725 -142.055366386
0.75 -134.987067523
0.775 -126.898729648
0.8 -117.660540252
0.825 -107.12898317
0.85 -95.1471498982
0.875 -81.5473041491
0.9 -66.1545580423
0.925 -48.7949090874
0.95 -29.3056594579
0.975 -7.54144518288
1.0 16.6172846797
1.025 43.2650487946
1.05 72.4708482969
1.075 104.285308063
1.1 138.743872348
