Vext Jext
-0.075 -197.233925569
-0.05 -197.12954847
-0.025 -197.017962559
0.0 -196.89847109
0.025 -196.770288448
0.05 -196.632526601
0.075 -196.484176958
0.1 -196.324092157
0.125 -196.150961063
0.15 -195.963278217
0.175 -195.759310548
0.2 -195.537053152
0.225 -195.294174499
0.25 -195.027954193
0.275 -194.735197933
0.3 -194.412140306
0.325 -194.054313861
0.35 -193.656394363
0.375 -193.211995276
0.4 -192.713414288
0.425 -192.151311678
0.45 -191.514293132
0.475 -190.788388698
0.5 -189.956388621
0.525 -188.997010139
0.55 -187.883865027
0.575 -186.584206463
0.6 -185.057457098
0.625 -183.2537206
0.65 -181.111395967
0.675 -178.556309545
0.7 -175.499854782
0.725 -171.837964373
0.75 -167.450321965
0.775 -162.199379451
0.8 -155.928083519
0.825 -148.45542089
0.85 -139.568329879
0.875 -129.011459783
0.9 -116.474829989
0.925 -101.585548644
0.95 -83.9065392059
0.975 -62.9476212075
1.0 -38.1887307983
1.025 -9.11048276424
1.05 24.7735066544
1.075 63.8896752141
1.1 108.587174722
