Vext Jext
-0.075 -180.751637364
-0.05 -179.913636039
-0.025 -179.027921899
0.0 -178.090824599
0.025 -177.098320152
0.05 -176.046005407
0.075 -174.929048705
0.1 -173.742145008
0.125 -172.47946686
0.15 -171.134597085
0.175 -169.700479466
0.2 -168.169339464
0.225 -166.532611608
0.25 -164.780844231
0.275 -162.903622573
0.3 -160.889459057
0.325 -158.725688309
0.35 -156.398353594
0.375 -153.892087781
0.4 -151.189990823
0.425 -148.273506274
0.45 -145.122300108
0.475 -141.714145863
0.5 -138.02481776
0.525 -134.028012788
0.55 -129.695269725
0.575 -124.995960065
0.6 -119.897208867
0.625 -114.36464476
0.65 -108.360075376
0.675 -101.844702378
0.7 -94.777569655
0.725 -87.1160899195
0.75 -78.8165390747
0.775 -69.8340843972
0.8 -60.1242549894
0.825 -49.6425826338
0.85 -38.3453417761
0.875 -26.1897511311
0.9 -13.1352018581
0.925 0.857733813451
0.95 15.8280290798
0.975 31.8136046405
1.0 48.8518757558
1.025 66.980426142
1.05 86.2356054017
1.075 106.653201329
1.1 128.266392712
