Vext Jext
-0.075 -179.564267324
-0.05 -178.801591916
-0.025 -177.99706498
0.0 -177.147635927
0.025 -176.249983192
0.05 -175.300477838
0.075 -174.295165175
0.1 -173.229725235
0.125 -172.099427841
0.15 -170.899104714
0.175 -169.623098346
0.2 -168.265204176
0.225 -166.81863158
0.25 -165.275939213
0.275 -163.628962947
0.3 -161.86876934
0.325 -159.985563345
0.35 -157.968635363
0.375 -155.806280872
0.4 -153.485716998
0.425 -150.993036824
0.45 -148.313120921
0.475 -145.429607784
0.5 -142.324847078
0.525 -138.979867032
0.55 -135.37440713
0.575 -131.486881872
0.6 -127.294485232
0.625 -122.773197147
0.65 -117.898128835
0.675 -112.642769605
0.7 -106.979361621
0.725 -100.879341619
0.75 -94.3125615623
0.775 -87.2472115242
0.8 -79.6497992067
0.825 -71.4852771736
0.85 -62.7171789226
0.875 -53.3083294914
0.9 -43.2213381419
0.925 -32.4203567754
0.95 -20.8708745124
0.975 -8.54130993643
1.0 4.59823607922
1.025 18.5761684101
1.05 33.4198131575
1.075 49.1573883973
1.1 65.8175909946
