Vext Jext
-0.075 -202.191958334
-0.05 -202.168257904
-0.025 -202.142887907
0.0 -202.115684038
0.025 -202.086460726
0.05 -202.055007372
0.075 -202.021084566
0.1 -201.984418799
0.125 -201.944696511
0.15 -201.901556305
0.175 -201.854580361
0.2 -201.803283019
0.225 -201.747096503
0.25 -201.68535432
0.275 -201.617268589
0.3 -201.541903188
0.325 -201.458138328
0.35 -201.36462494
0.375 -201.259726465
0.4 -201.141443103
0.425 -201.007310543
0.45 -200.854268005
0.475 -200.678481449
0.5 -200.475107049
0.525 -200.237973186
0.55 -199.959152044
0.575 -199.628383498
0.6 -199.232301054
0.625 -198.753455102
0.65 -198.168818944
0.675 -197.448267355
0.7 -196.552385695
0.725 -195.429929731
0.75 -194.014853844
0.775 -192.222889356
0.8 -189.947313532
0.825 -187.053365267
0.85 -183.369987358
0.875 -178.67645638
0.9 -172.680957822
0.925 -164.987089732
0.95 -155.044666775
0.975 -142.083294169
1.0 -125.033992494
1.025 -102.450649562
1.05 -72.4507509948
1.075 -32.7024541137
1.1 19.5237095434
