Vext Jext
-0.075 -201.511594355
-0.05 -201.45644923
-0.025 -201.397377189
0.0 -201.333981585
0.025 -201.265812713
0.05 -201.192358887
0.075 -201.113035678
0.1 -201.027172898
0.125 -200.933998751
0.15 -200.832620485
0.175 -200.722000307
0.2 -200.600926067
0.225 -200.467974166
0.25 -200.321463274
0.275 -200.159395927
0.3 -199.979383477
0.325 -199.778551517
0.35 -199.553415622
0.375 -199.29972125
0.4 -199.012235833
0.425 -198.684469171
0.45 -198.308311911
0.475 -197.87354993
0.5 -197.367218158
0.525 -196.772745562
0.55 -196.068826015
0.575 -195.227932792
0.6 -194.214517836
0.625 -192.982255568
0.65 -191.47159037
0.675 -189.606025821
0.7 -187.288298964
0.725 -184.395918092
0.75 -180.775983064
0.775 -176.238483323
0.8 -170.546787453
0.825 -163.403896498
0.85 -154.432800018
0.875 -143.151183424
0.9 -128.947172866
0.925 -111.054276869
0.95 -88.5420748684
0.975 -60.3265575726
1.0 -25.2073985698
1.025 18.0704643873
1.05 70.7403219163
1.075 133.93132415
