Vext Jext
-0.075 -203.388306553
-0.05 -203.342459136
-0.025 -203.293031146
0.0 -203.239604989
0.025 -203.18169538
0.05 -203.118735921
0.075 -203.05006121
0.1 -202.974885554
0.125 -202.892273526
0.15 -202.801104238
0.175 -202.700025397
0.2 -202.587390663
0.225 -202.461180355
0.25 -202.318894492
0.275 -202.157413095
0.3 -201.972804043
0.325 -201.760070018
0.35 -201.51280568
0.375 -201.222739
0.4 -200.87912306
0.425 -200.467947037
0.45 -199.970929227
0.475 -199.364483498
0.5 -198.618048063
0.525 -197.693410475
0.55 -196.543972671
0.575 -195.115304025
0.6 -193.347085063
0.625 -191.176492567
0.65 -188.542192492
0.675 -185.387153925
0.7 -181.659091601
0.725 -177.307344036
0.75 -172.275751954
0.775 -166.491161579
0.8 -159.843997146
0.825 -152.156445771
0.85 -143.123282508
0.875 -132.201083151
0.9 -118.400427359
0.925 -99.904219453
0.95 -73.4173528219
0.975 -33.1973937905
1.0 30.0926634609
