Vext Jext
-0.075 -198.565494212
-0.05 -198.31758089
-0.025 -198.053245831
0.0 -197.770935774
0.025 -197.468904404
0.05 -197.14518257
0.075 -196.797543909
0.1 -196.423459226
0.125 -196.020051534
0.15 -195.584032392
0.175 -195.11162994
0.2 -194.598500744
0.225 -194.039622333
0.25 -193.429161563
0.275 -192.760312489
0.3 -192.025095587
0.325 -191.214107715
0.35 -190.316207783
0.375 -189.318127905
0.4 -188.203966361
0.425 -186.954560108
0.45 -185.546673702
0.475 -183.951972232
0.5 -182.135619265
0.525 -180.054804018
0.55 -177.656353124
0.575 -174.874191461
0.6 -171.626097075
0.625 -167.810216947
0.65 -163.299017222
0.675 -157.937232598
0.7 -151.53663834
0.725 -143.873971378
0.75 -134.691294729
0.775 -123.699582566
0.8 -110.585892167
0.825 -95.0236567407
0.85 -76.6843650263
0.875 -55.25131733
0.9 -30.4265047405
0.925 -1.94806449774
0.95 30.408639344
