Vext Jext
-0.075 -203.67382619
-0.05 -203.643672207
-0.025 -203.611161834
0.0 -203.576028087
0.025 -203.537963837
0.05 -203.496614822
0.075 -203.45157024
0.1 -203.40235158
0.125 -203.348398754
0.15 -203.2890523
0.175 -203.223531914
0.2 -203.150908223
0.225 -203.070067144
0.25 -202.97966385
0.275 -202.878062245
0.3 -202.763256373
0.325 -202.632764806
0.35 -202.48348941
0.375 -202.311523188
0.4 -202.111887457
0.425 -201.878167068
0.45 -201.602001184
0.475 -201.27237838
0.5 -200.874586803
0.525 -200.388826754
0.55 -199.78820749
0.575 -199.036227767
0.6 -198.08237366
0.625 -196.858578119
0.65 -195.273661715
0.675 -193.208763734
0.7 -190.513911891
0.725 -187.006555693
0.75 -182.469688443
0.775 -176.641334884
0.8 -169.183586788
0.825 -159.613406905
0.85 -147.174296663
0.875 -130.635728892
0.9 -108.033471355
0.925 -76.4422820688
0.95 -31.9656150828
0.975 29.8939288696
