Vext Jext
-0.075 -204.145196296
-0.05 -204.138392541
-0.025 -204.131131833
0.0 -204.123369667
0.025 -204.115055532
0.05 -204.106131966
0.075 -204.096533292
0.1 -204.086184091
0.125 -204.07499732
0.15 -204.062871942
0.175 -204.049690167
0.2 -204.035313551
0.225 -204.01957846
0.25 -204.002290029
0.275 -203.983214296
0.3 -203.962068228
0.325 -203.938505793
0.35 -203.912099952
0.375 -203.882317789
0.4 -203.848486144
0.425 -203.809744175
0.45 -203.764974596
0.475 -203.712705885
0.5 -203.650968099
0.525 -203.577079864
0.55 -203.487324853
0.575 -203.376480233
0.6 -203.237002684
0.625 -203.057920678
0.65 -202.823031668
0.675 -202.508224692
0.7 -202.07751115
0.725 -201.477512327
0.75 -200.629944702
0.775 -199.421449088
0.8 -197.688264302
0.825 -195.188576236
0.85 -191.546058732
0.875 -186.131109307
0.9 -177.814581723
0.925 -164.469746259
0.95 -141.988216457
0.975 -102.429728144
1.0 -30.7405232462
