Vext Jext
-0.075 -175.326890022
-0.05 -174.329082978
-0.025 -173.278125312
0.0 -172.170143062
0.025 -171.000887625
0.05 -169.765754927
0.075 -168.459713637
0.1 -167.077263595
0.125 -165.612389831
0.15 -164.058512805
0.175 -162.408414965
0.2 -160.654193503
0.225 -158.787159136
0.25 -156.797781786
0.275 -154.675562657
0.3 -152.408964248
0.325 -149.985253556
0.35 -147.390405854
0.375 -144.608913964
0.4 -141.623646984
0.425 -138.415638677
0.45 -134.963836854
0.475 -131.244862843
0.5 -127.232664972
0.525 -122.898132884
0.55 -118.208580503
0.575 -113.127157877
0.6 -107.612024015
0.625 -101.616691384
0.65 -95.0840210742
0.675 -87.9497285342
0.7 -80.138153244
0.725 -71.5594283309
0.75 -62.1067405214
0.775 -51.6543754677
0.8 -40.0565252433
0.825 -27.1493415569
0.85 -12.7565349302
0.875 3.30242311403
0.9 21.2012788146
