Vext Jext
-0.075 -187.657495423
-0.05 -187.042339036
-0.025 -186.389076571
0.0 -185.69420035
0.025 -184.953791075
0.05 -184.16346265
0.075 -183.318302191
0.1 -182.412789283
0.125 -181.440738292
0.15 -180.39517799
0.175 -179.268289909
0.2 -178.051310378
0.225 -176.734376131
0.25 -175.306460504
0.275 -173.755254019
0.3 -172.067070274
0.325 -170.226800173
0.35 -168.217834354
0.375 -166.02211591
0.4 -163.62018135
0.425 -160.991299752
0.45 -158.113595871
0.475 -154.964350623
0.5 -151.520693602
0.525 -147.758520856
0.55 -143.651423652
0.575 -139.173831577
0.6 -134.297306218
0.625 -128.989521563
0.65 -123.210846294
0.675 -116.909946259
0.7 -110.015351437
0.725 -102.421805089
0.75 -93.9659964024
0.775 -84.3830104178
0.8 -73.2323597811
0.825 -59.7763406432
0.85 -42.8131232236
0.875 -20.5125457039
0.9 9.6001668089
