Vext Jext
-0.075 -204.192915544
-0.05 -204.184706146
-0.025 -204.175410387
0.0 -204.164840326
0.025 -204.152768358
0.05 -204.138917161
0.075 -204.122946718
0.1 -204.104437398
0.125 -204.082867492
0.15 -204.05758349
0.175 -204.027760075
0.2 -203.992346208
0.225 -203.949990983
0.25 -203.898941871
0.275 -203.836903662
0.3 -203.760840373
0.325 -203.666698098
0.35 -203.549025626
0.375 -203.400385598
0.4 -203.210659103
0.425 -202.965978518
0.45 -202.647511069
0.475 -202.229471011
0.5 -201.677746186
0.525 -200.948424698
0.55 -199.987340344
0.575 -198.731710027
0.6 -197.113983557
0.625 -195.067953684
0.65 -192.534014145
0.675 -189.462222073
0.7 -185.811240892
0.725 -181.54323259
0.75 -176.615157369
0.775 -170.966102732
0.8 -164.498030395
0.825 -157.042083883
0.85 -148.296071542
0.875 -137.699344126
0.9 -124.181335628
0.925 -105.65956443
0.95 -78.0677523173
0.975 -33.5887895328
