Vext Jext
-0.075 -195.341320005
-0.05 -195.019801676
-0.025 -194.680139974
0.0 -194.320748013
0.025 -193.939844002
0.05 -193.535426352
0.075 -193.105237678
0.1 -192.646723174
0.125 -192.156980736
0.15 -191.632700936
0.175 -191.070094391
0.2 -190.464803448
0.225 -189.811794249
0.25 -189.105221463
0.275 -188.338274535
0.3 -187.502959658
0.325 -186.589855189
0.35 -185.587790928
0.375 -184.483446991
0.4 -183.260846783
0.425 -181.900714485
0.45 -180.379664528
0.475 -178.669148753
0.5 -176.734185045
0.525 -174.531667378
0.55 -172.008417615
0.575 -169.098511188
0.6 -165.721735702
0.625 -161.774737076
0.65 -157.131964317
0.675 -151.635713177
0.7 -145.08467865
0.725 -137.211820162
0.75 -127.642381542
0.775 -115.81291211
0.8 -100.824289497
0.825 -81.2049052656
0.85 -54.5983268005
0.875 -17.5081984148
0.9 34.603147835
